기업,날짜,회계연도,분기,"주당순이익
EPS(달러)","주당순자산
BPS(달러)","주당매출액
SPS(달러)","주당현금흐름
CPS(달러)","주당배당금
DPS(달러)","주가수익배수
PER(배)","주가순자산배수
PBR(배)","주가매출액배수
PSR(배)","주가현금흐름
배수 PCR(배)","자기자본이익률
ROE(%)","총자산이익률
ROA(%)","투하자본이익률
ROIC(%)",부채비율(%),유동비율(%),"이자보상
배수(배)"
CRM,22.10.31,2023,FY1Q,0.26,59.53,30.39,6.32,0.0,584.86,2.74,5.37,25.79,0.5,0.3,1.9,54.8,105.4,-
CRM,22.07.31,2022,FY4Q,0.52,60.28,29.41,6.42,0.0,341.6,3.05,6.25,28.63,0.9,0.6,1.2,56.7,105.8,-
CRM,22.04.30,2022,FY3Q,1.01,59.41,28.19,6.51,0.0,173.66,2.96,6.23,27.01,1.7,1.1,4.1,58.0,102.6,-
CRM,22.01.31,2022,FY2Q,1.48,60.87,27.74,6.28,0.0,158.69,3.94,8.65,38.19,2.7,1.7,7.6,63.8,104.9,-
CRM,21.10.31,2022,FY1Q,1.8,58.22,25.49,6.32,0.0,168.72,5.14,11.74,47.38,3.5,2.3,11.6,53.3,106.1,-
GS,25.09.30,2025,FY4Q,49.18,401.82,189.59,57.78,13.0,15.22,1.94,4.11,13.48,12.8,0.9,0.9,1353.3,-,-
GS,25.06.30,2025,FY3Q,45.33,395.59,179.19,-72.85,12.0,14.71,1.75,3.86,-9.5,12.0,0.8,0.8,1338.4,-,-
GS,25.03.31,2025,FY2Q,43.04,387.47,169.45,-69.84,11.75,12.02,1.37,3.14,-7.61,11.6,0.8,0.8,1320.9,-,-
GS,24.12.31,2025,FY1Q,40.54,371.83,163.1,-40.27,11.5,13.29,1.47,3.36,-13.61,11.2,0.8,0.8,1273.8,-,-
GS,24.09.30,2024,FY4Q,34.08,373.15,156.9,-271.97,11.25,13.63,1.29,3.07,-1.77,9.6,0.7,0.7,1325.8,-,-
GS,24.06.30,2024,FY3Q,31.15,362.23,151.85,-229.87,11.0,13.8,1.22,2.91,-1.92,9.0,0.6,0.6,1284.0,-,-
GS,24.03.31,2024,FY2Q,25.61,353.24,143.75,-149.07,10.75,15.54,1.15,2.82,-2.72,7.5,0.5,0.5,1332.7,-,-
GS,23.12.31,2024,FY1Q,22.87,343.03,135.72,-36.93,10.5,15.91,1.08,2.72,-9.99,6.8,0.5,0.5,1304.2,-,-
GS,23.09.30,2023,FY4Q,20.69,346.26,134.42,-51.35,10.25,14.76,0.91,2.34,-6.13,6.2,0.5,0.5,1244.8,-,-
GS,23.06.30,2023,FY3Q,23.47,340.32,133.47,70.56,10.0,12.91,0.92,2.35,4.44,7.1,0.5,0.5,1248.9,-,-
GS,23.03.31,2023,FY2Q,28.12,339.03,134.61,108.62,9.5,10.95,0.93,2.35,2.91,8.5,0.7,0.6,1209.1,-,-
GS,22.12.31,2023,FY1Q,30.06,332.83,134.52,24.73,9.0,10.8,0.99,2.46,13.35,9.2,0.7,0.7,1130.3,-,-
GS,22.09.30,2022,FY4Q,37.6,338.12,140.05,204.49,8.5,7.47,0.84,2.03,1.39,11.6,0.9,0.8,1204.4,-,-
GS,22.06.30,2022,FY3Q,44.28,332.03,143.79,47.53,8.0,6.49,0.87,2.0,6.05,14.0,1.0,1.0,1258.5,-,-
GS,22.03.31,2022,FY2Q,51.57,328.13,155.38,-22.93,7.25,6.11,0.97,2.04,-13.85,16.9,1.2,1.2,1279.3,-,-
GS,21.12.31,2022,FY1Q,59.45,313.63,169.3,17.97,6.5,6.06,1.17,2.16,20.34,20.3,1.5,1.4,1231.8,-,-
LRCX,25.09.28,2025,FY4Q,4.53,8.06,15.49,5.05,0.95,27.95,15.94,8.29,25.44,60.6,28.0,56.7,114.9,220.7,-
LRCX,25.06.29,2025,FY3Q,4.15,7.67,14.33,4.8,0.92,23.2,12.61,6.74,20.14,58.5,26.6,51.6,116.4,221.0,-
LRCX,25.03.30,2025,FY2Q,3.59,7.41,13.35,3.49,0.89,20.01,9.8,5.44,20.8,52.7,23.9,45.5,109.9,245.2,-
LRCX,24.12.29,2025,FY1Q,3.29,6.84,12.59,3.54,0.86,22.0,10.72,5.83,20.72,50.7,22.5,42.0,125.2,254.4,-
LRCX,24.09.29,2024,FY4Q,3.09,6.52,12.0,4.06,0.83,26.48,12.68,6.89,20.39,48.8,21.5,39.7,130.6,252.5,-
LRCX,24.06.30,2024,FY3Q,2.9,6.5,11.34,3.54,0.8,36.37,16.3,9.34,29.93,46.6,20.6,36.6,119.5,297.0,-
LRCX,24.03.31,2024,FY2Q,2.72,6.13,10.89,3.75,0.77,35.28,15.88,8.94,25.93,44.4,19.4,33.7,127.9,281.9,-
LRCX,23.12.24,2024,FY1Q,2.59,6.25,10.88,3.99,0.75,29.73,12.5,7.18,19.56,42.1,18.4,31.7,128.4,305.6,-
LRCX,23.09.24,2023,FY4Q,2.95,6.07,11.94,3.73,0.72,20.65,10.2,5.18,16.61,48.2,21.0,35.5,130.4,305.9,-
LRCX,23.06.25,2023,FY3Q,3.32,6.06,12.87,3.82,0.69,18.13,9.96,4.69,15.79,55.8,23.8,40.4,128.8,316.1,-
LRCX,23.03.26,2023,FY2Q,3.59,6.23,13.98,3.34,0.67,13.78,8.06,3.59,15.05,64.7,26.4,44.5,128.9,309.1,-
LRCX,22.12.25,2023,FY1Q,3.72,6.11,14.0,2.6,0.65,10.97,6.77,2.95,15.92,73.2,28.6,47.1,131.3,301.5,-
LRCX,22.09.25,2022,FY4Q,3.48,5.42,13.15,2.8,0.77,10.75,7.03,2.9,13.61,74.1,28.0,46.9,152.6,269.4,-
LRCX,22.06.26,2022,FY3Q,3.27,4.49,12.31,2.22,0.6,13.56,9.95,3.63,20.15,74.9,27.9,45.5,173.9,269.1,-
LRCX,22.03.27,2022,FY2Q,3.2,4.33,12.02,2.94,0.58,17.04,12.84,4.62,18.92,74.6,28.1,46.2,175.3,283.4,-
LRCX,21.12.26,2022,FY1Q,3.21,4.61,11.75,3.2,0.56,21.43,15.19,5.95,21.87,77.5,28.9,45.8,157.7,313.3,-
MCD,25.09.30,2025,FY4Q,11.72,-3.03,36.84,14.71,7.08,25.77,-,8.26,20.68,-,14.5,11.9,-,100.0,8.0
MCD,25.06.30,2025,FY3Q,11.67,-3.86,36.47,13.71,6.98,24.89,-,8.02,21.33,-,14.8,12.0,-,130.3,8.0
MCD,25.03.31,2025,FY2Q,11.33,-4.83,35.96,13.27,6.88,27.35,-,8.68,23.53,-,14.7,11.9,-,118.1,8.0
MCD,24.12.31,2025,FY1Q,11.39,-5.29,36.09,13.15,6.78,25.26,-,8.02,21.99,-,15.0,12.1,-,119.1,8.0
MCD,24.09.30,2024,FY4Q,11.39,-7.22,36.19,12.98,6.68,26.49,-,8.42,23.48,-,15.0,12.2,-,77.9,8.0
MCD,24.06.30,2024,FY3Q,11.43,-6.71,35.83,13.35,6.53,22.11,-,7.13,19.14,-,15.4,12.5,-,107.5,8.0
MCD,24.03.31,2024,FY2Q,11.78,-6.7,35.7,13.27,6.38,23.69,-,7.9,21.25,-,16.2,13.0,-,83.0,8.0
MCD,23.12.31,2024,FY1Q,11.56,-6.47,35.02,13.21,6.23,25.4,-,8.44,22.38,-,16.1,12.9,-,116.4,9.0
MCD,23.09.30,2023,FY4Q,11.35,-6.68,34.4,12.82,6.08,23.04,-,7.68,20.59,-,16.3,12.9,-,171.1,9.0
MCD,23.06.30,2023,FY3Q,10.86,-6.85,33.16,11.96,5.94,27.25,-,9.01,24.96,-,15.9,12.6,-,134.6,9.0
MCD,23.03.31,2023,FY2Q,9.31,-7.9,32.04,10.5,5.8,29.75,-,8.74,26.65,-,13.7,11.0,-,147.0,8.0
MCD,22.12.31,2023,FY1Q,8.33,-8.15,31.48,10.03,5.66,31.25,-,8.33,26.13,-,12.4,10.2,-,142.7,8.0
MCD,22.09.30,2022,FY4Q,7.94,-8.94,31.66,10.68,5.52,28.71,-,7.3,21.62,-,11.7,9.8,-,164.7,8.0
MCD,22.06.30,2022,FY3Q,8.12,-8.64,31.99,10.9,5.43,30.02,-,7.74,22.72,-,11.8,9.9,-,141.4,8.0
MCD,22.03.31,2022,FY2Q,9.47,-8.07,32.0,12.32,5.34,25.85,-,7.74,20.09,-,13.6,10.9,-,110.0,9.0
