Date,SPY_Close,SPY_Volume,SPY_Volatility,기준금리,SPY_PER,SPY_PBR,US_GDP,TNX_Close,CPIAUCSL
2025-04-02,564.52001953125,76014500,12.6099853515625,4.5,24.56,4.69,23548210.0,0.4196000099182129,319.775
2025-04-03,536.7000122070312,125986000,11.26995849609375,4.5,24.56,4.69,23548210.0,0.4054999828338623,319.775
2025-04-04,505.2799987792969,217965100,20.80999755859375,4.5,24.56,4.69,23548210.0,0.3984999895095825,319.775
2025-04-07,504.3800048828125,256611400,41.3699951171875,4.5,24.56,4.69,23548210.0,0.4155000209808349,319.775
2025-04-08,496.4800109863281,165816600,35.819976806640625,4.5,24.56,4.69,23548210.0,0.4262000083923339,319.775
2025-04-09,548.6199951171875,241867300,55.57000732421875,4.5,24.56,4.69,23548210.0,0.4400000095367432,319.775
2025-04-10,524.5800170898438,162331200,24.17999267578125,4.5,24.56,4.69,23548210.0,0.4394000053405761,319.615
2025-04-11,533.9400024414062,97866300,16.3599853515625,4.5,24.56,4.69,23548210.0,0.4493000030517578,319.615
2025-04-14,539.1199951171875,68034000,10.4200439453125,4.5,24.56,4.69,23548210.0,0.4363999843597412,319.615
2025-04-15,537.6099853515625,56892900,6.41998291015625,4.5,24.56,4.69,23548210.0,0.4322999954223633,319.615
2025-04-16,525.6599731445312,83484800,17.60003662109375,4.5,24.56,4.69,23548210.0,0.4278999805450439,319.615
2025-04-17,526.4099731445312,79868100,7.260009765625,4.5,24.56,4.69,23548210.0,0.4333000183105469,319.615
2025-04-21,513.8800048828125,69368100,13.240020751953123,4.5,24.56,4.69,23548210.0,0.4405000209808349,319.615
2025-04-22,527.25,75948100,10.1099853515625,4.5,24.56,4.69,23548210.0,0.4388999938964844,319.615
2025-04-23,535.4199829101562,90590700,11.54998779296875,4.5,24.56,4.69,23548210.0,0.438700008392334,319.615
2025-04-24,546.6900024414062,64150400,11.97998046875,4.5,24.56,4.69,23548210.0,0.4304999828338623,319.615
2025-04-25,550.6400146484375,61119600,7.3599853515625,4.5,24.56,4.69,23548210.0,0.4265999794006347,319.615
