Date,SPY_NAV
2024-11-20,590.384853
2024-11-21,593.62034
2024-11-22,595.69559
2024-11-25,597.493977
2024-11-26,600.945072
2024-11-27,598.698047
2024-11-29,602.104787
2024-12-02,603.643018
2024-12-03,603.925022
2024-12-04,607.580345
2024-12-05,606.48217
2024-12-06,608.055058
2024-12-09,604.413276
2024-12-10,602.636935
2024-12-11,607.550832
2024-12-12,604.269064
2024-12-13,604.323383
2024-12-16,606.691121
2024-12-17,604.364917
2024-12-18,586.607249
2024-12-19,586.100754
2024-12-20,590.509954
2024-12-23,594.846552
2024-12-24,601.410383
2024-12-26,601.214782
2024-12-27,594.615861
2024-12-30,588.255777
2024-12-31,585.788081
2025-01-02,584.503877
2025-01-03,591.90611
2025-01-06,595.226655
2025-01-07,588.624442
2025-01-08,589.55287
2025-01-10,580.580883
2025-01-13,581.493864
2025-01-14,582.159931
2025-01-15,592.870884
2025-01-16,591.628374
2025-01-17,597.54072
2025-01-21,602.792387
2025-01-22,606.497928
2025-01-23,609.725951
2025-01-24,608.039246
2025-01-27,599.185477
2025-01-28,604.702494
2025-01-29,601.877341
2025-01-30,605.0574
2025-01-31,602.044248
2025-02-03,597.499051
2025-02-04,601.814148
2025-02-05,604.183874
2025-02-06,606.383066
2025-02-07,600.665833
2025-02-10,604.779555
2025-02-11,604.99767
2025-02-12,603.414559
2025-02-13,609.702522
2025-02-14,609.794419
2025-02-18,611.374529
2025-02-19,612.834036
2025-02-20,610.262489
2025-02-21,599.884289
2025-02-24,596.929139
2025-02-25,594.150049
2025-02-26,594.241745
2025-02-27,584.839337
2025-02-28,594.164982
2025-03-03,583.782339
2025-03-04,576.669519
2025-03-05,583.102124
2025-03-06,572.749225
2025-03-07,575.987799
2025-03-10,560.589751
2025-03-11,556.362571
2025-03-12,559.084435
2025-03-13,551.382913
2025-03-14,563.185364
2025-03-17,566.826737
2025-03-18,560.824351
2025-03-19,566.864902
2025-03-20,565.697305
2025-03-21,564.478044
2025-03-24,574.439705
2025-03-25,575.365548
2025-03-26,568.946331
2025-03-27,567.065667
2025-03-28,555.888779
2025-03-31,559.024522
2025-04-01,561.150508
2025-04-02,564.939672
2025-04-03,537.633099
2025-04-04,505.590118
2025-04-07,504.41682
2025-04-08,496.502034
2025-04-09,543.724165
2025-04-10,525.009205
2025-04-11,534.509984
2025-04-14,538.753128
2025-04-15,537.872965
2025-04-16,525.842035
2025-04-17,526.541847
2025-04-21,514.186016
2025-04-22,527.100035
2025-04-23,535.882629
2025-04-24,546.727508
2025-04-25,550.752487
2025-04-28,551.113657
2025-04-29,554.308895
2025-04-30,555.171276
2025-05-01,558.670088
2025-05-02,566.904608
2025-05-05,563.317271
2025-05-06,558.992974
2025-05-07,561.423404
2025-05-08,564.675485
2025-05-09,564.368917
2025-05-12,582.788287
2025-05-13,587.021231
2025-05-14,587.646731
2025-05-15,590.217001
2025-05-16,594.418753
2025-05-19,595.025755
2025-05-20,592.739757
2025-05-21,583.213389
2025-05-22,582.965111
2025-05-23,579.089605
2025-05-27,590.962545
2025-05-28,587.68127
2025-05-29,590.042094
2025-05-30,590.044995
2025-06-02,592.528798
2025-06-03,595.965771
2025-06-04,596.033035
2025-06-05,592.941085
2025-06-06,599.086958
2025-06-09,599.68587
2025-06-10,602.98393
2025-06-11,601.339443
2025-06-12,603.636939
2025-06-13,596.93005
2025-06-16,602.61808
2025-06-17,597.615453
2025-06-18,597.448035
2025-06-20,594.418857
2025-06-23,600.138879
2025-06-24,606.825654
2025-06-25,606.826963
2025-06-26,611.699334
2025-06-27,614.931927
2025-06-30,618.157842
